,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,25.0,0.0,226802.0,2.0,7.0,2.0,7.0,1.0,4.0,1.0,0.0,0.0,40.0,0.0,<=50K
1,38.0,0.0,89814.0,3.0,9.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,50.0,0.0,<=50K
2,28.0,4.0,336951.0,5.0,12.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,>50K
3,44.0,0.0,160323.0,1.0,10.0,0.0,7.0,2.0,4.0,1.0,7688.0,0.0,40.0,0.0,>50K
4,18.0,,103497.0,1.0,10.0,2.0,,1.0,0.0,0.0,0.0,0.0,30.0,0.0,<=50K
5,34.0,0.0,198693.0,12.0,6.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,30.0,0.0,<=50K
6,29.0,,227026.0,3.0,9.0,2.0,,5.0,4.0,1.0,0.0,0.0,40.0,0.0,<=50K
7,63.0,1.0,104626.0,4.0,15.0,0.0,5.0,2.0,0.0,1.0,3103.0,0.0,32.0,0.0,>50K
8,24.0,0.0,369667.0,1.0,10.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,40.0,0.0,<=50K
9,55.0,0.0,104996.0,8.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,10.0,0.0,<=50K
10,65.0,0.0,184454.0,3.0,9.0,0.0,7.0,2.0,0.0,1.0,6418.0,0.0,40.0,0.0,>50K
11,36.0,3.0,212465.0,0.0,13.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,<=50K
12,26.0,0.0,82091.0,3.0,9.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,39.0,0.0,<=50K
13,58.0,,299831.0,3.0,9.0,0.0,,2.0,0.0,1.0,0.0,0.0,35.0,0.0,<=50K
14,48.0,0.0,279724.0,3.0,9.0,0.0,7.0,2.0,0.0,1.0,3103.0,0.0,48.0,0.0,>50K
15,43.0,0.0,346189.0,10.0,14.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,50.0,0.0,>50K
16,20.0,5.0,444554.0,1.0,10.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,25.0,0.0,<=50K
17,43.0,0.0,128354.0,3.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,<=50K
18,37.0,0.0,60548.0,3.0,9.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0,<=50K
19,40.0,0.0,85019.0,13.0,16.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,45.0,,>50K
20,34.0,0.0,107914.0,0.0,13.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,47.0,0.0,>50K
21,34.0,0.0,238588.0,1.0,10.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,35.0,0.0,<=50K
22,72.0,,132015.0,8.0,4.0,1.0,,3.0,0.0,0.0,0.0,0.0,6.0,0.0,<=50K
23,25.0,0.0,220931.0,0.0,13.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,43.0,38.0,<=50K
24,25.0,0.0,205947.0,0.0,13.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,<=50K
25,45.0,1.0,432824.0,3.0,9.0,0.0,1.0,2.0,0.0,1.0,7298.0,0.0,90.0,0.0,>50K
26,22.0,0.0,236427.0,3.0,9.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,20.0,0.0,<=50K
27,23.0,0.0,134446.0,3.0,9.0,3.0,7.0,5.0,4.0,1.0,0.0,0.0,54.0,0.0,<=50K
28,54.0,0.0,99516.0,3.0,9.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,35.0,0.0,<=50K
29,32.0,1.0,109282.0,1.0,10.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,60.0,0.0,<=50K
30,46.0,5.0,106444.0,1.0,10.0,0.0,4.0,2.0,4.0,1.0,7688.0,0.0,38.0,0.0,>50K
31,56.0,1.0,186651.0,2.0,7.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,50.0,0.0,<=50K
32,24.0,1.0,188274.0,0.0,13.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,50.0,0.0,<=50K
33,23.0,4.0,258120.0,1.0,10.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,<=50K
34,26.0,0.0,43311.0,3.0,9.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,40.0,0.0,<=50K
35,65.0,,191846.0,3.0,9.0,0.0,,2.0,0.0,1.0,0.0,0.0,40.0,0.0,<=50K
